Titulo,Ano,Minha_Nota,TMDB_Id,Nota_Publico,Popularidade,Generos_Texto,Animação,Aventura,Ação,Comédia,Crime,Drama,Família,Fantasia,Faroeste,Ficção científica,Guerra,História,Mistério,Música,Romance,Terror,Thriller
Parasite,2019,5.0,1309516,7.0,0.1755,['Animação'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barbie,2023,3.5,346698,6.911,23.4028,"['Comédia', 'Aventura', 'Fantasia']",0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
La La Land,2016,5.0,313369,7.896,20.2544,"['Comédia', 'Drama', 'Romance']",0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
Spider-Man: Into the Spider-Verse,2018,4.0,324857,8.397,55.2231,"['Animação', 'Ação', 'Aventura', 'Ficção científica']",1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Joker,2019,4.0,475557,8.119,29.3178,"['Crime', 'Thriller', 'Drama']",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
The Wolf of Wall Street,2013,4.5,106646,8.026,31.9467,"['Crime', 'Drama', 'Comédia']",0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Spider-Man: Across the Spider-Verse,2023,4.0,569094,8.344,62.7602,"['Animação', 'Ação', 'Aventura', 'Ficção científica']",1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Se7en,1995,4.0,807,8.38,32.2119,"['Crime', 'Mistério', 'Thriller']",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
Forrest Gump,1994,5.0,13,8.463,36.4065,"['Comédia', 'Drama', 'Romance']",0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
Good Will Hunting,1997,5.0,489,8.164,28.75,['Drama'],0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Inglourious Basterds,2009,5.0,16869,8.217,28.9679,"['Drama', 'Thriller', 'Guerra']",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
Once Upon a Time... in Hollywood,2019,3.5,466272,7.419,17.5717,"['Comédia', 'Drama', 'Thriller']",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
Spider-Man: No Way Home,2021,4.0,634649,7.941,335.8263,"['Ação', 'Aventura', 'Ficção científica']",0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Ratatouille,2007,3.5,2062,7.846,27.118,"['Animação', 'Comédia', 'Família', 'Fantasia']",1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
Avengers: Infinity War,2018,3.5,299536,8.241,90.9352,"['Aventura', 'Ação', 'Ficção científica']",0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Avengers: Endgame,2019,4.0,299534,8.24,64.5955,"['Aventura', 'Ficção científica', 'Ação']",0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Coraline,2009,4.0,14836,7.931,38.6316,"['Animação', 'Família', 'Fantasia']",1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Titanic,1997,4.0,597,7.9,36.183,"['Drama', 'Romance']",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Guardians of the Galaxy,2014,3.5,118340,7.908,18.8183,"['Ação', 'Ficção científica', 'Aventura']",0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Up,2009,5.0,14160,7.961,24.2498,"['Animação', 'Comédia', 'Família', 'Aventura']",1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
No Country for Old Men,2007,5.0,6977,7.949,21.0899,"['Crime', 'Thriller', 'Faroeste']",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
WALL·E,2008,5.0,10681,8.12,30.005,"['Animação', 'Família', 'Ficção científica']",1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Shrek,2001,5.0,808,7.776,28.4389,"['Animação', 'Comédia', 'Fantasia', 'Aventura', 'Família']",1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
Catch Me If You Can,2002,4.0,640,7.978,20.6651,"['Drama', 'Crime']",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Don't Look Up,2021,1.5,646380,7.057,13.4281,"['Comédia', 'Ficção científica', 'Drama']",0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
Spider-Man,2002,5.0,557,7.347,97.8961,"['Ação', 'Ficção científica']",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Zodiac,2007,5.0,1949,7.533,15.2974,"['Crime', 'Mistério', 'Thriller']",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
Toy Story,1995,4.0,862,8.0,35.1485,"['Família', 'Comédia', 'Animação', 'Aventura']",1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
The Incredibles,2004,5.0,9806,7.728,21.6198,"['Ação', 'Aventura', 'Animação', 'Família']",1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Monsters, Inc.",2001,5.0,585,7.856,28.3009,"['Animação', 'Comédia', 'Família', 'Fantasia']",1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
Finding Nemo,2003,5.0,12,7.821,25.9712,"['Animação', 'Família', 'Aventura']",1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Puss in Boots: The Last Wish,2022,4.0,315162,8.2,21.0334,"['Animação', 'Aventura', 'Fantasia', 'Comédia', 'Família']",1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
Nightcrawler,2014,4.5,242582,7.708,15.0666,"['Crime', 'Drama', 'Thriller']",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
Shrek 2,2004,5.0,809,7.327,18.2109,"['Animação', 'Comédia', 'Família', 'Fantasia', 'Romance']",1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0
The Lion King,1994,5.0,8587,8.252,29.9837,"['Animação', 'Família', 'Drama']",1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Prisoners,2013,5.0,146233,8.107,17.814,"['Drama', 'Thriller', 'Crime']",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
